wetlandtypecode,vyear,grouptypecode,ecramid,cramver,wetlandclass,wetlandsubclass,wetlandtypedisplay,wetlandtyperowid,userid,userid_updatedby,aaname,projectname,assessmentareaid,projectid,visitdate,createdate,lastupdate,practitioners,practitionerother,aacategorydesc,aacomment,legacygid,programcode,centroidlong,centroidlat,aasize_ha,county,ecoregion,aageomcomment,ispublic,isnottest,indexscore,buffer_landscape_cont,hydrology,physical_structure,biotic_structure,bankfulwidth,average_aa_width,length,upstreamlatitude,upstreamlongitude,downstreamlatitude,downstreamlongitude,datum,flowingwater_riverine,hydroregime_riverine,channelform_riverine,tidalstage_riverine,tidalstage_estuarine,mouthcondition,encompass_estuarine,wetlandorigindesc,managetypes,depressionaltypedesc,encompass_depressional,hydrostate_depressional,hydroregime_depressional,connectstreamfloodplain,definedoutlet,definedinlet,inletoutletsamelocation,distincttopobasin,vpcategorydesc,surfacewater,hydrodescription,peatsoils,encompass_slope,hydrostate_slope,hydroregime_slope
rnc,2005,,30,3.55,riverine,non-confined,riverine non-confined,5,127,,Rattlesnake Creek,,,,2005/08/19,2005/08/19 00:00:00,2014/03/03 14:33:19.966,,,,,34,,-122.86417,39.49365,0.30607,Lake,klamath/north coast,,1,1,92,100.00,100.00,87.50,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,31,3.55,riverine,non-confined,riverine non-confined,5,127,,Project Area,,,,2005/08/23,2005/08/23 00:00:00,2014/03/03 14:33:19.966,,,,,35,,-122.40282,40.50385,3.07403,Shasta,klamath/north coast,,1,1,76,80.80,83.33,75.00,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,32,3.55,riverine,non-confined,riverine non-confined,5,127,,Sul Norte,,,,2005/08/25,2005/08/25 00:00:00,2014/03/03 14:33:19.966,,,,,36,,-121.99800,39.46662,12.60156,Glenn,sacramento valley,,1,1,84,77.80,83.33,100.00,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,33,3.55,riverine,non-confined,riverine non-confined,5,127,,Stony Creek/Phelan Island,,,,2005/08/25,2005/08/25 00:00:00,2014/03/03 14:33:19.966,,,,,37,,-121.96560,39.67729,25.3289,Glenn,sacramento valley,,1,1,73,80.80,75.00,62.50,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,34,3.5,riverine,non-confined,riverine non-confined,5,127,,Rameli Ranch,,,,2005/07/20,2005/07/20 00:00:00,2014/03/03 14:33:19.966,,,,,38,,-120.41690,39.81554,0.98741,Plumas,sierra,,1,1,90,93.30,100.00,100.00,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,35,3.55,riverine,non-confined,riverine non-confined,5,127,,Gurnsey Creek,,,,2005/08/24,2005/08/24 00:00:00,2014/03/03 14:33:19.966,,,,,39,,-121.43394,40.30999,0.39011,Tehama,modoc,,1,1,95,100.00,100.00,100.00,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,36,3.0,riverine,non-confined,riverine non-confined,5,2172,,Livermore Marsh,,,,2005/06/22,2005/06/22 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,41,,-122.89950,38.16999,2.85553,Marin,bay/delta,,1,1,72,77.80,83.33,50.00,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,37,3.5,riverine,non-confined,riverine non-confined,5,127,,Freeman Meadow,,,,2005/07/21,2005/07/21 00:00:00,2014/03/03 14:33:19.966,,,,,42,,-120.62012,39.67400,1.4975,Sierra,sierra,,1,1,94,100.00,100.00,100.00,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,38,3.5,riverine,non-confined,riverine non-confined,5,127,,Perazzo Meadow,,,,2005/07/21,2005/07/21 00:00:00,2014/03/03 14:33:19.966,,,,,43,,-120.38546,39.47539,3.01674,Sierra,sierra,,1,1,90,100.00,100.00,100.00,58.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,39,3.0,riverine,non-confined,riverine non-confined,5,127,,Pine Gulch,,,,2005/06/23,2005/06/23 00:00:00,2014/03/03 14:33:19.966,,,,,44,,-122.69025,37.92090,5.24215,Marin,bay/delta,,1,1,77,65.30,100.00,75.00,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,40,3.0,riverine,non-confined,riverine non-confined,5,127,,Muddy Hollow,,,,2005/06/22,2005/06/22 00:00:00,2014/03/03 14:33:19.966,,,,,45,,-122.87057,38.04819,1.40122,Marin,bay/delta,,1,1,83,100.00,100.00,62.50,70.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,41,3.55,riverine,non-confined,riverine non-confined,5,127,,Tall Forest,,,,2005/08/05,2005/08/05 00:00:00,2014/03/03 14:33:19.966,,,,,46,,-121.40326,38.25472,1.74812,Sacramento,bay/delta,,1,1,91,100.00,91.67,100.00,70.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,42,3.5,riverine,non-confined,riverine non-confined,5,127,,Wendell's Levee,,,,2005/08/02,2005/08/02 00:00:00,2014/03/03 14:33:19.966,,,,,47,,-121.39387,38.26752,6.39214,Sacramento,bay/delta,,1,1,89,93.30,83.33,100.00,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,43,3.55,riverine,non-confined,riverine non-confined,5,127,,Saeltzer Dam,,,,2005/08/23,2005/08/23 00:00:00,2014/03/03 14:33:19.966,,,,,48,,-122.47875,40.49334,2.52095,Shasta,klamath/north coast,,1,1,81,90.30,75.00,87.50,70.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,44,3.5,riverine,confined,riverine confined,4,127,,Lynch Creek near Lynch Creek Way,,,,2005/07/25,2005/07/25 00:00:00,2014/03/03 14:33:19.966,,,,,49,,-122.61397,38.25216,0.39992,Sonoma,bay/delta,,1,1,54,39.87,75.00,50.00,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,57,3.55,riverine,non-confined,riverine non-confined,5,2172,,"Malibu (""Cross Creek"")",,,,2005/10/14,2005/10/14 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,64,,-118.68371,34.03556,0.58124,Los Angeles,south coast,,1,1,48,55.18,66.67,25.00,45.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,58,3.55,riverine,non-confined,riverine non-confined,5,2172,,Santa Ynez Canyon,,,,2005/10/17,2005/10/17 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,65,,-118.56384,34.07077,0.61943,Los Angeles,south coast,,1,1,80,73.91,66.67,87.50,91.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,59,3.55,riverine,non-confined,riverine non-confined,5,2172,,Topanga Canyon,,,,2005/10/17,2005/10/17 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,66,,-118.60143,34.09551,0.4113,Los Angeles,south coast,,1,1,73,86.41,66.67,62.50,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,60,3.55,riverine,non-confined,riverine non-confined,5,2172,,Fallbrook,,,,2005/08/19,2005/08/19 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,67,,-117.30521,33.35260,1.73168,San Diego,south coast,,1,1,83,87.50,100.00,50.00,95.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,61,3.5,riverine,non-confined,riverine non-confined,5,2172,,Lee Vining,,,,2005/07/25,2005/07/25 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,68,,-119.11100,37.97320,0.43032,Mono,sierra,,1,1,94,100.00,100.00,87.50,87.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,62,3.0,riverine,non-confined,riverine non-confined,5,2172,,Lewis Center,,,,2005/06/15,2005/06/15 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,69,,-117.28279,34.53075,22.82341,San Bernardino,mojave,,1,1,85,87.50,91.67,75.00,87.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,63,3.5,riverine,non-confined,riverine non-confined,5,2172,,Mill Creek,,,,2005/07/25,2005/07/25 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,70,,-119.14292,38.03945,1.59971,Mono,sierra,,1,1,84,96.53,83.33,75.00,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,64,3.0,riverine,non-confined,riverine non-confined,5,2172,,Riverbottom,,,,2005/06/27,2005/06/27 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,71,,-118.30272,35.67468,8.68628,Kern,sierra,,1,1,93,93.30,83.33,100.00,95.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,65,3.5,riverine,confined,riverine confined,4,2172,,Solstice Canyon Creek,,,,2005/07/16,2005/07/16 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,72,,-118.75291,34.03964,3.61464,Los Angeles,south coast,,1,1,82,93.30,100.00,62.50,70.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,66,3.55,riverine,confined,riverine confined,4,2172,,Arroyo Sequit,,,,2005/10/17,2005/10/17 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,102,,-118.93297,34.06384,0.89483,Los Angeles,south coast,,1,1,91,84.03,87.50,100.00,91.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,67,3.55,riverine,non-confined,riverine non-confined,5,2172,,Piru Creek 4,,,,2005/10/24,2005/10/24 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,103,,-119.07848,34.64118,2.89442,Ventura,central coast,,1,1,89,100.00,91.67,87.50,75.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,68,3.55,riverine,non-confined,riverine non-confined,5,2172,,Salton 103,,,,2005/10/31,2005/10/31 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,104,,-115.81595,33.47033,2.12664,Riverside,colorado desert,,1,1,85,100.00,100.00,100.00,41.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,69,3.55,riverine,non-confined,riverine non-confined,5,2172,,Salton 104,,,,2005/10/31,2005/10/31 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,105,,-115.84187,33.44671,2.35756,Riverside,colorado desert,,1,1,76,100.00,91.67,62.50,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,70,3.55,riverine,non-confined,riverine non-confined,5,2172,,Salton 98,,,,2005/10/31,2005/10/31 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,106,,-115.89374,33.11056,0.84818,Imperial,colorado desert,,1,1,66,100.00,75.00,62.50,25.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,71,3.5,riverine,non-confined,riverine non-confined,5,127,,Big Meadow,,,,2005/07/26,2005/07/26 00:00:00,2014/03/03 14:33:19.966,,,,,108,,-119.75376,37.70409,0.10674,Mariposa,sierra,,1,1,92,100.00,83.33,87.50,95.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,72,3.0,riverine,non-confined,riverine non-confined,5,2172,,Canebrake,,,,2005/06/27,2005/06/27 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,109,,-118.16980,35.72822,2.79709,Kern,sierra,,1,1,82,79.73,91.67,62.50,95.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,73,3.5,riverine,non-confined,riverine non-confined,5,2172,,Devil's Postpile,,,,2005/07/27,2005/07/27 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,110,,-119.08541,37.62875,1.21275,Madera,sierra,,1,1,76,90.30,83.33,62.50,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,74,3.55,riverine,confined,riverine confined,4,2172,,Upper Solstice,,,,2005/10/14,2005/10/14 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,111,,-118.75440,34.04953,0.04287,Los Angeles,south coast,,1,1,89,100.00,100.00,87.50,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,75,3.5,riverine,non-confined,riverine non-confined,5,127,,Rush Creek,,,,2005/07/25,2005/07/25 00:00:00,2014/03/03 14:33:19.966,,,,,112,,-119.06728,37.93114,8.56974,Mono,sierra,,1,1,67,100.00,50.00,62.50,54.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,76,3.5,riverine,non-confined,riverine non-confined,5,2172,,Wilson Creek,,,,2005/07/27,2005/07/27 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,113,,-119.15001,38.06076,5.18259,Mono,sierra,,1,1,84,100.00,91.67,62.50,83.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,77,3.0,riverine,non-confined,riverine non-confined,5,2172,,Zumwalt Meadow,,,,2005/06/26,2005/06/26 00:00:00,2019/11/06 15:21:04.209,Betty Fetscher (lead practitioner),,,,114,,-118.59715,36.79085,1.16488,Fresno,sierra,,1,1,90,100.00,100.00,62.50,95.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,78,3.5,riverine,non-confined,riverine non-confined,5,860,,Arroyo Grande,,,,2005/08/02,2005/08/02 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,119,,-120.60538,35.09529,0.82485,San Luis Obispo,central coast,,1,1,54,62.50,50.00,37.50,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,79,3.5,riverine,non-confined,riverine non-confined,5,860,,Arroyo Grande Creek,,,,2005/08/02,2005/08/02 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,"subclass is an estimate; difficult to tell, but could be confined by urban levees",120,,-120.58690,35.11327,0.45955,San Luis Obispo,central coast,,1,1,54,62.50,41.67,50.00,62.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,80,3.55,riverine,non-confined,riverine non-confined,5,860,,San Simeon Creek,,,,2005/08/17,2005/08/17 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,121,,-121.12143,35.59462,0.49963,San Luis Obispo,central coast,,1,1,84,93.30,91.67,87.50,62.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,81,3.55,riverine,non-confined,riverine non-confined,5,860,,Chorro Creek,,,,2005/08/15,2005/08/15 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,122,,-120.82784,35.35342,0.50779,San Luis Obispo,central coast,,1,1,66,93.30,66.67,50.00,54.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,85,3.55,riverine,non-confined,riverine non-confined,5,860,,Chorro Flats,,,,2005/08/16,2005/08/16 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,126,,-120.81943,35.36048,0.73459,San Luis Obispo,central coast,,1,1,72,85.36,75.00,62.50,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,86,3.5,riverine,non-confined,riverine non-confined,5,860,,San Luis Obispo Creek,,,,2005/08/02,2005/08/02 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,127,,-120.71796,35.18802,0.87106,San Luis Obispo,central coast,,1,1,69,85.36,75.00,50.00,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,87,3.5,riverine,confined,riverine confined,4,860,,Arroyo Grande Creek,,,,2005/08/02,2005/08/02 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,128,,-120.51413,35.17958,1.15549,San Luis Obispo,central coast,,1,1,73,96.53,66.67,50.00,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,88,3.55,riverine,confined,riverine confined,4,860,,Coon Creek,,,,2005/08/15,2005/08/15 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,129,,-120.88715,35.25502,2.44016,San Luis Obispo,central coast,,1,1,86,100.00,100.00,62.50,83.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,89,3.55,riverine,non-confined,riverine non-confined,5,860,,Santa Rosa Creek,,,,2005/08/08,2005/08/08 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,130,,-121.10335,35.56794,0.82507,San Luis Obispo,central coast,,1,1,75,55.18,91.67,75.00,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,90,3.55,riverine,non-confined,riverine non-confined,5,860,,Santa Rosa Creek,,,,2005/08/08,2005/08/08 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,131,,-121.06501,35.56904,0.5962,San Luis Obispo,central coast,,1,1,68,73.27,75.00,62.50,62.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,91,3.55,riverine,non-confined,riverine non-confined,5,860,,Old Creek,,,,2005/08/08,2005/08/08 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,132,,-120.85924,35.47176,1.23079,San Luis Obispo,central coast,,1,1,76,90.30,91.67,50.00,70.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,92,3.5,riverine,confined,riverine confined,4,860,,San Luis Obispo Creek,,,,2005/08/03,2005/08/03 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,subclass is an estimate,133,,-120.64248,35.29415,0.14637,San Luis Obispo,central coast,,1,1,57,58.52,66.67,50.00,54.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,93,3.5,riverine,non-confined,riverine non-confined,5,860,,San Luis Obispo Creek,,,,2005/08/03,2005/08/03 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,134,,-120.68113,35.24364,0.35012,San Luis Obispo,central coast,,1,1,57,67.23,50.00,50.00,62.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rc,2005,,94,3.5,riverine,confined,riverine confined,4,860,,Stenner Creek,,,,2005/08/03,2005/08/03 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,"subclass is an estimate; difficult to tell since can't remember going to this site. It is in an urban area so may be confined by levees.",135,,-120.66786,35.28085,0.11656,San Luis Obispo,central coast,,1,1,55,62.50,50.00,62.50,45.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,95,3.55,riverine,non-confined,riverine non-confined,5,860,,San Simeon Creek,,,,2005/08/17,2005/08/17 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,136,,-121.07492,35.60935,0.65592,San Luis Obispo,central coast,,1,1,76,93.30,91.67,62.50,58.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,96,3.55,riverine,non-confined,riverine non-confined,5,860,,Arroyo de la Cruz,,,,2005/08/30,2005/08/30 00:00:00,2014/03/03 14:33:19.966,"Bobby Jo Close (lead practitioner), Ben Carter (other practitioner)",,,,137,,-121.30260,35.70848,1.77371,San Luis Obispo,central coast,,1,1,70,85.36,100.00,50.00,45.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,97,3.5,riverine,non-confined,riverine non-confined,5,124,,Carmel River,,,,2005/07/28,2005/07/28 00:00:00,2022/12/05 22:54:27.777,"Cara Clark (lead practitioner), Adam Wiskind (other practitioner), Kellie Rey (other practitioner)",,,,138,,-121.91122,36.53569,0.89423,Monterey,central coast,,1,1,70,86.41,75.00,62.50,54.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,98,3.55,riverine,non-confined,riverine non-confined,5,124,,Carmel River Mouth,,,,2005/08/13,2005/08/13 00:00:00,2022/12/05 22:54:27.777,"Cara Clark (lead practitioner), Kellie Rey (other practitioner), Adam Wiskind (other practitioner)",,,,139,,-121.92269,36.53845,3.07619,Monterey,central coast,,1,1,73,77.80,83.33,50.00,79.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rnc,2005,,99,3.55,riverine,non-confined,riverine non-confined,5,124,,Big Sur River,,,,2005/08/11,2005/08/11 00:00:00,2022/12/05 22:54:27.777,"Cara Clark (lead practitioner), Adam Wiskind (other practitioner), Kellie Rey (other practitioner)",,,,140,,-121.77261,36.24633,0.88687,Monterey,central coast,,1,1,67,86.41,62.50,62.50,58.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
